# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
10002000 292.896 91672.3 0.798518 2521.96 45.0899 45.0899 45.0899
10003000 295.041 91671.8 0.798522 2560.72 45.0898 45.0898 45.0898
10004000 292.82 91671.4 0.798526 2526.19 45.0898 45.0898 45.0898
10005000 292.689 91670.9 0.79853 2515.13 45.0897 45.0897 45.0897
10006000 293.674 91670.4 0.798534 2553.78 45.0896 45.0896 45.0896
10007000 292.074 91670 0.798538 2532.67 45.0895 45.0895 45.0895
10008000 293.058 91669.5 0.798542 2532.46 45.0895 45.0895 45.0895
10009000 294.153 91669 0.798546 2544.98 45.0894 45.0894 45.0894
10010000 294.259 91668.6 0.79855 2555.79 45.0893 45.0893 45.0893
10011000 296.505 91668.1 0.798554 2607.63 45.0892 45.0892 45.0892
10012000 293.642 91667.6 0.798558 2554.56 45.0891 45.0891 45.0891
10013000 293.179 91667.2 0.798562 2550.34 45.0891 45.0891 45.0891
10014000 293.862 91666.7 0.798566 2536.87 45.089 45.089 45.089
10015000 294.017 91666.2 0.79857 2564.83 45.0889 45.0889 45.0889
10016000 292.88 91665.8 0.798575 2550.89 45.0888 45.0888 45.0888
10017000 292.031 91665.3 0.798579 2537.39 45.0888 45.0888 45.0888
10018000 293.709 91664.8 0.798583 2548.87 45.0887 45.0887 45.0887
10019000 294.351 91664.4 0.798587 2590.92 45.0886 45.0886 45.0886
10020000 294.313 91663.9 0.798591 2597.58 45.0885 45.0885 45.0885
10021000 290.636 91663.4 0.798595 2514.52 45.0885 45.0885 45.0885
10022000 294.227 91663 0.798599 2550.81 45.0884 45.0884 45.0884
10023000 292.714 91662.5 0.798603 2535.09 45.0883 45.0883 45.0883
10024000 292.231 91662 0.798607 2541.25 45.0882 45.0882 45.0882
10025000 295.166 91661.6 0.798611 2608.37 45.0882 45.0882 45.0882
10026000 293.539 91661.1 0.798615 2562.4 45.0881 45.0881 45.0881
10027000 294.559 91660.6 0.798619 2576.91 45.088 45.088 45.088
10028000 294.354 91660.2 0.798623 2586.39 45.0879 45.0879 45.0879
10029000 292.394 91659.7 0.798628 2563.91 45.0878 45.0878 45.0878
10030000 293.06 91659.2 0.798632 2565.86 45.0878 45.0878 45.0878
10031000 294.602 91658.8 0.798636 2608.35 45.0877 45.0877 45.0877
10032000 292.663 91658.3 0.79864 2572.34 45.0876 45.0876 45.0876
10033000 295.504 91657.8 0.798644 2618.47 45.0875 45.0875 45.0875
10034000 294.329 91657.4 0.798648 2593.67 45.0875 45.0875 45.0875
10035000 292.588 91656.9 0.798652 2538.34 45.0874 45.0874 45.0874
10036000 295.498 91656.4 0.798656 2600.35 45.0873 45.0873 45.0873
10037000 293.459 91656 0.79866 2559.51 45.0872 45.0872 45.0872
10038000 294.56 91655.5 0.798664 2571.59 45.0872 45.0872 45.0872
10039000 294.145 91655 0.798668 2564.28 45.0871 45.0871 45.0871
10040000 293.798 91654.5 0.798672 2548.42 45.087 45.087 45.087
10041000 292.616 91654.1 0.798676 2529.64 45.0869 45.0869 45.0869
10042000 291.909 91653.6 0.79868 2524.26 45.0868 45.0868 45.0868
10043000 293.447 91653.1 0.798685 2542.72 45.0868 45.0868 45.0868
10044000 294.275 91652.7 0.798689 2563.08 45.0867 45.0867 45.0867
10045000 292.97 91652.2 0.798693 2500.93 45.0866 45.0866 45.0866
10046000 292.316 91651.7 0.798697 2502.93 45.0865 45.0865 45.0865
10047000 291.834 91651.3 0.798701 2482.7 45.0865 45.0865 45.0865
