# Time-averaged data for fix state_variables
# TimeStep c_thermo_temp v_vol v_rho v_etotal v_a v_b v_c
10002000 291.906 111004 0.790587 2474.7 48.0596 48.0596 48.0596
10003000 293.307 111002 0.790606 2519.41 48.0592 48.0592 48.0592
10004000 296.095 110999 0.790625 2587.92 48.0588 48.0588 48.0588
10005000 291.133 110996 0.790644 2490.13 48.0584 48.0584 48.0584
10006000 291.881 110994 0.790663 2486.5 48.0581 48.0581 48.0581
10007000 292.195 110991 0.790682 2515.13 48.0577 48.0577 48.0577
10008000 291.37 110988 0.790701 2509.94 48.0573 48.0573 48.0573
10009000 293.652 110986 0.79072 2541.42 48.0569 48.0569 48.0569
10010000 293.325 110983 0.790739 2508.76 48.0565 48.0565 48.0565
10011000 293.983 110980 0.790759 2555.3 48.0561 48.0561 48.0561
10012000 293.06 110978 0.790778 2536.88 48.0557 48.0557 48.0557
10013000 291.247 110975 0.790797 2498.83 48.0553 48.0553 48.0553
10014000 291.919 110972 0.790816 2503.62 48.055 48.055 48.055
10015000 293.461 110970 0.790835 2545.09 48.0546 48.0546 48.0546
10016000 292.658 110967 0.790854 2544.56 48.0542 48.0542 48.0542
10017000 295.189 110964 0.790873 2593.45 48.0538 48.0538 48.0538
10018000 293.933 110962 0.790893 2567.47 48.0534 48.0534 48.0534
10019000 292.931 110959 0.790912 2540.63 48.053 48.053 48.053
10020000 292.505 110956 0.790931 2520.82 48.0526 48.0526 48.0526
10021000 292.805 110953 0.79095 2543.1 48.0522 48.0522 48.0522
10022000 292.149 110951 0.790969 2501.95 48.0519 48.0519 48.0519
10023000 293.166 110948 0.790988 2527.98 48.0515 48.0515 48.0515
10024000 293.76 110945 0.791007 2545.83 48.0511 48.0511 48.0511
10025000 293.372 110943 0.791026 2512.39 48.0507 48.0507 48.0507
10026000 293.025 110940 0.791046 2509.61 48.0503 48.0503 48.0503
10027000 293.006 110937 0.791065 2532.83 48.0499 48.0499 48.0499
10028000 292.714 110935 0.791084 2518.27 48.0495 48.0495 48.0495
10029000 292.348 110932 0.791103 2517.09 48.0491 48.0491 48.0491
10030000 293.759 110929 0.791122 2537.67 48.0488 48.0488 48.0488
10031000 292.836 110927 0.791141 2555.71 48.0484 48.0484 48.0484
10032000 291.374 110924 0.79116 2558.86 48.048 48.048 48.048
10033000 292.322 110921 0.79118 2546.58 48.0476 48.0476 48.0476
10034000 291.924 110919 0.791199 2507.94 48.0472 48.0472 48.0472
10035000 293.723 110916 0.791218 2554.09 48.0468 48.0468 48.0468
10036000 294.221 110913 0.791237 2576.29 48.0464 48.0464 48.0464
10037000 292.898 110911 0.791256 2532.84 48.046 48.046 48.046
10038000 292.032 110908 0.791275 2498.5 48.0457 48.0457 48.0457
10039000 292.898 110905 0.791294 2520.41 48.0453 48.0453 48.0453
10040000 293.193 110902 0.791314 2537.82 48.0449 48.0449 48.0449
10041000 293.764 110900 0.791333 2529.36 48.0445 48.0445 48.0445
10042000 292.162 110897 0.791352 2521.64 48.0441 48.0441 48.0441
10043000 292.219 110894 0.791371 2504.95 48.0437 48.0437 48.0437
10044000 292.571 110892 0.79139 2509.29 48.0433 48.0433 48.0433
10045000 291.205 110889 0.791409 2477.06 48.0429 48.0429 48.0429
10046000 295.149 110886 0.791428 2554.91 48.0426 48.0426 48.0426
10047000 292.699 110884 0.791448 2521.95 48.0422 48.0422 48.0422
10048000 293.229 110881 0.791467 2543.04 48.0418 48.0418 48.0418
10049000 294.905 110878 0.791486 2573.25 48.0414 48.0414 48.0414
10050000 292.508 110876 0.791505 2523.83 48.041 48.041 48.041
10051000 292.61 110873 0.791524 2530.39 48.0406 48.0406 48.0406
10052000 292.284 110870 0.791543 2514.83 48.0402 48.0402 48.0402
10053000 294.245 110868 0.791562 2549.93 48.0398 48.0398 48.0398
10054000 293.432 110865 0.791582 2536.63 48.0395 48.0395 48.0395
10055000 291.019 110862 0.791601 2503.23 48.0391 48.0391 48.0391
10056000 292.841 110860 0.79162 2536.08 48.0387 48.0387 48.0387
10057000 290.668 110857 0.791639 2487.36 48.0383 48.0383 48.0383
10058000 292.959 110854 0.791658 2509.12 48.0379 48.0379 48.0379
